timestamp,open,high,low,close,volume
2023-01-01T00:00:00.000Z,16500.25,16550.50,16480.75,16530.50,1250
2023-01-01T01:00:00.000Z,16530.50,16575.25,16525.75,16565.75,1350
2023-01-01T02:00:00.000Z,16565.75,16600.00,16550.25,16580.50,1450
2023-01-01T03:00:00.000Z,16580.50,16610.25,16560.50,16590.75,1550
2023-01-01T04:00:00.000Z,16590.75,16625.50,16575.25,16615.25,1650
2023-01-01T05:00:00.000Z,16615.25,16640.75,16600.50,16630.00,1750
2023-01-01T06:00:00.000Z,16630.00,16645.50,16610.25,16625.75,1850
2023-01-01T07:00:00.000Z,16625.75,16635.00,16590.50,16600.25,1950
2023-01-01T08:00:00.000Z,16600.25,16615.75,16570.00,16580.50,2050
2023-01-01T09:00:00.000Z,16580.50,16590.25,16550.75,16570.00,2150
2023-01-01T10:00:00.000Z,16570.00,16595.50,16555.25,16585.75,2250
2023-01-01T11:00:00.000Z,16585.75,16620.00,16580.50,16610.25,2350
2023-01-01T12:00:00.000Z,16610.25,16645.75,16605.00,16635.50,2450
2023-01-01T13:00:00.000Z,16635.50,16660.25,16625.75,16650.00,2550
2023-01-01T14:00:00.000Z,16650.00,16675.50,16640.25,16665.75,2650
2023-01-01T15:00:00.000Z,16665.75,16690.00,16655.50,16680.25,2750
2023-01-01T16:00:00.000Z,16680.25,16695.75,16665.00,16685.50,2850
2023-01-01T17:00:00.000Z,16685.50,16700.25,16670.50,16690.00,2950
2023-01-01T18:00:00.000Z,16690.00,16705.50,16675.25,16695.75,3050
2023-01-01T19:00:00.000Z,16695.75,16710.00,16680.50,16700.25,3150
2023-01-01T20:00:00.000Z,16700.25,16715.50,16685.75,16705.00,3250
2023-01-01T21:00:00.000Z,16705.00,16720.25,16690.00,16710.50,3350
2023-01-01T22:00:00.000Z,16710.50,16725.75,16695.25,16715.00,3450
2023-01-01T23:00:00.000Z,16715.00,16730.00,16700.50,16720.25,3550
2023-01-02T00:00:00.000Z,16720.25,16735.50,16705.75,16725.00,3650
